Authors,Title,Year
"Dong, Feng; Wang, Liu; Nie, Xu; Shao, Fei; Wang, Haoyu; Li, Ding; Luo, Xiapu; Xiao, Xusheng",DISTDET: A Cost-Effective Distributed Cyber Threat Detection System,2023
"Herley, Cormac",Automated Detection of Automated Trafﬁc,2022
"Seyyar, Yunus Emre; Yavuz, Ali Gokhan; Unver, Halil Murat",An Attack Detection Framework Based on BERT and Deep Learning,2022
"Sabir, Bushra; Ullah, Faheem; Babar, M. Ali; Gaire, Raj",Machine Learning for Detecting Data Exfiltration: A Review,2022
"Moussaileb, Routa; Cuppens, Nora; Lanet, Jean-Louis; Bouder, Hélène Le",A Survey on Windows-based Ransomware Taxonomy and Detection Mechanisms,2022
"Luo, Yuan; Xiao, Ya; Cheng, Long; Peng, Guojun; Yao, Danfeng (Daphne)",Deep Learning-based Anomaly Detection in Cyber-physical Systems: Progress and Opportunities,2022
"Anjum, Md Monowar; Iqbal, Shahrear; Hamelin, Benoit",ANUBIS: A Provenance Graph-Based Framework for Advanced Persistent Threat Detection,2022
"Li, Liqun; Zhang, Xu; Zhao, Xin; Zhang, Hongyu; Kang, Yu; Zhao, Pu; Qiao, Bo; He, Shilin; Lee, Pochian; Sun, Jeffrey; Gao, Feng; Yang, Li; Lin, Qingwei; Rajmohan, Saravanakumar; Xu, Zhangwei; Zhang, Dongmei",Fighting the Fog of War: Automated Incident Detection for Cloud Systems,2021
"Sun, Xiaoshuang; Wang, Yu; Shi, Zengkai",Insider Threat Detection Using An Unsupervised Learning Method: COPOD,2021
"Ndichu, Samuel; Ban, Tao; Takahashi, Takeshi; Inoue, Daisuke",A Machine Learning Approach to Detection of Critical Alerts from Imbalanced Multi-Appliance Threat Alert Logs,2021
"Zhang, Kai; Jiang, Yushan; Seversky, Lee; Xu, Chengtao; Liu, Dahai; Song, Houbing",Federated Variational Learning for Anomaly Detection in Multivariate Time Series,2021
"Qu, Xiaofei; Yang, Lin; Guo, Kai; Pan, Zhisong; Feng, Tao; Ren, Shuangyin; Sun, Meng",Entropy-Defined Direct Batch Growing Hierarchical Self-Organizing Mapping for Efficient Network Anomaly Detection,2021
"King, James; Bendiab, Gueltoum; Savage, Nick; Shiaeles, Stavros",Data Exfiltration: Methods and Detection Countermeasures,2021
"Otoum, Safa; Kantarci, Burak; Mouftah, Hussein",A Comparative Study of AI-Based Intrusion Detection Techniques in Critical Infrastructures,2021
"Wilkens, Florian; Ortmann, Felix; Haas, Steffen; Vallentin, Matthias; Fischer, Mathias",Multi-Stage Attack Detection via Kill Chain State Machines,2021
"Zhu, Shixiang; Yuchi, Henry Shaowu; Xie, Yao",Adversarial Anomaly Detection for Marked Spatio-Temporal Streaming Data,2020
"Raj, Chitranshu; Khular, Lavanya; Raj, Gaurav",Clustering Based Incident Handling For Anomaly Detection in Cloud Infrastructures,2020
"Karaçay, Leyli; Savaş, Erkay; Alptekin, Halit",Intrusion Detection Over Encrypted Network Data,2020
"Musleh, Ahmed S.; Chen, Guo; Dong, Zhao Yang",A Survey on the Detection Algorithms for False Data Injection Attacks in Smart Grids,2020
"Enigo, V.S. Felix; Ganesh, K Tarun; Raj, N N Vishal; Sandeep, D",Hybrid Intrusion Detection System for Detecting New Attacks Using Machine Learning,2020
"Alsowail, Rakan A.; Al-Shehari, Taher",Empirical Detection Techniques of Insider Threat Incidents,2020
"Dmitry, Dik; Elena, Polyakova; Anna, Chelovechkova; Tatiana, Zmyzgova; Elena, Ponomareva",Approaches to Anomaly Detection in Web Application Intrusion Detection Systems,2020
