Level	Date and Time	Source	Event ID	Task Category
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{647d4452-9f33-4a18-b2be-c5c0e920e94e} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	{F982CB12-26EF-49BF-AB17-39FC9411151A} 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{647d4452-9f33-4a18-b2be-c5c0e920e94e} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	{F982CB12-26EF-49BF-AB17-39FC9411151A} 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	ntsvcs 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	ntsvcs 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x6 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x6 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	ntsvcs 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	6	(2)	"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x10 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel"
Information	8/17/2021 7:27:01 AM	Microsoft-Windows-RPC	5	(1)	"Client RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x10 	Protocol: 	LRPC 	NetworkAddress 	NULL 	Endpoint 	ntsvcs 	Binding Options 	NULL 	Authentication Level 	Packet Privacy 	Authentication Service 	Kernel Impersonation Level 	Impersonate"
